laptop_timestamp,sniffer_id,esp_timestamp_us,rssi,csi_array,label
2026-04-26 12:22:56.451,2,3264259877,-53,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -6 3 -7 2 -8 0 -9 -1 -10 -2 -12 -3 -13 -3 -14 -4 -14 -4 -14 -5 -14 -5 -14 -6 -13 -7 -12 -7 -12 -9 -11 -11 -12 -12 -13 -14 -14 -15 -15 -15 -16 -15 -17 -15 -17 -13 -17 -12 -16 -10 0 0 -12 -8 -10 -8 -8 -9 -6 -10 -4 -12 -4 -14 -4 -16 -5 -18 -7 -19 -9 -20 -11 -20 -12 -18 -13 -17 -14 -14 -14 -12 -13 -10 -11 -9 -9 -8 -6 -8 -4 -9 -2 -9 -1 -11 1 -12 2 -14 3 -15 3 -16 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,1,3485350777,-62,0 0 -3 -17 -4 -18 -4 -19 -4 -20 -4 -19 -3 -18 -2 -17 -2 -15 -2 -12 -2 -9 -2 -7 -2 -4 -3 -2 -3 0 -4 2 -5 3 -6 5 -7 6 -8 7 -9 7 -10 7 -11 6 -12 5 -13 2 -12 0 -10 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 12 -3 7 -1 4 2 1 6 0 11 -1 14 0 17 2 19 4 20 5 20 7 20 8 19 8 18 7 17 7 16 5 14 3 13 1 11 0 10 -3 9 -4 7 -6 5 -8 3 -9 1 -11 0 -13,empty room
2026-04-26 12:22:56.451,4,2651444555,-57,0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 5 0 6 -1 8 -1 9 -1 10 -1 10 -1 11 -1 10 -1 9 -1 7 -1 6 -1 3 0 1 -1 -2 0 -5 0 -8 0 -11 -1 -13 -1 -15 -1 -16 -2 -17 -2 -17 -3 -16 -3 -15 -3 -13 0 0 -2 -8 -2 -5 -1 -1 0 2 2 6 3 9 5 12 6 14 7 16 8 17 8 17 8 16 7 15 6 13 5 11 4 8 2 5 0 2 -2 -2 -3 -5 -5 -8 -6 -10 -7 -13 -7 -15 -7 -16 -5 -17 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,3,2675022981,-59,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 8 -5 10 -5 11 -4 12 -3 13 -2 13 0 13 1 12 3 10 3 9 4 7 4 5 4 3 3 1 2 0 1 -1 0 -1 0 0 0 0 1 1 2 2 3 2 4 3 5 3 7 2 0 0 8 1 9 1 9 0 10 0 11 -1 12 -1 13 -1 15 -2 16 -3 17 -4 18 -6 19 -7 19 -8 19 -10 18 -10 17 -11 17 -10 17 -9 16 -7 17 -4 18 -2 20 1 21 4 23 6 25 9 26 11 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,1,3485435320,-61,0 0 -13 12 -14 14 -14 14 -15 14 -14 13 -14 12 -13 11 -11 9 -10 7 -7 6 -5 5 -3 4 -1 3 1 2 3 1 4 0 5 1 7 0 8 -1 9 0 9 0 10 1 11 3 10 4 9 6 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 2 0 -2 -2 -5 -5 -7 -9 -8 -12 -8 -16 -7 -19 -6 -21 -4 -23 -3 -23 -2 -22 -2 -22 -2 -20 -2 -18 -3 -16 -4 -13 -5 -11 -6 -9 -7 -7 -8 -4 -9 -2 -10 1 -11 3 -11 6 -11 9,empty room
2026-04-26 12:22:56.451,2,3264344418,-52,0 0 0 0 0 0 0 0 0 0 0 0 -6 -2 -7 -3 -8 -5 -9 -6 -9 -8 -10 -8 -10 -9 -9 -10 -9 -10 -8 -10 -6 -10 -4 -10 -2 -10 1 -10 4 -10 7 -11 10 -12 12 -14 14 -15 15 -17 15 -18 15 -18 14 -19 12 -19 10 -17 8 -15 0 0 6 -8 6 -4 6 0 7 4 8 7 10 10 13 12 15 13 18 14 20 13 22 11 22 9 22 7 21 5 19 4 16 2 13 2 9 1 6 2 2 3 -2 4 -5 6 -7 8 -10 10 -12 11 -13 12 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,4,2651529096,-56,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -9 -1 -11 -2 -11 -3 -11 -4 -11 -4 -10 -4 -9 -4 -8 -4 -7 -3 -5 -2 -3 -1 -1 0 2 2 4 3 6 5 8 6 10 8 11 9 13 9 13 9 13 9 13 9 12 8 11 7 10 5 0 0 5 2 2 0 -1 -3 -4 -4 -7 -7 -10 -9 -12 -10 -14 -11 -15 -13 -16 -13 -16 -13 -16 -13 -15 -12 -13 -11 -11 -9 -9 -7 -7 -5 -4 -2 -1 0 1 3 3 6 5 9 6 11 6 14 6 16 4 18 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,1,3485478268,-63,0 0 -10 15 -12 16 -11 17 -11 17 -11 16 -11 15 -9 13 -8 11 -6 9 -4 7 -2 4 0 3 2 2 4 0 5 -1 6 -2 8 -3 9 -4 9 -4 10 -4 11 -4 11 -3 12 -2 12 -1 11 1 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 5 2 0 0 -4 -3 -7 -8 -9 -12 -9 -16 -8 -20 -7 -23 -6 -25 -4 -25 -3 -25 -2 -23 -2 -21 -3 -19 -3 -17 -4 -14 -6 -11 -7 -8 -8 -6 -9 -3 -10 0 -9 3 -10 5 -11 8 -10 11,empty room
2026-04-26 12:22:56.451,3,2675065929,-59,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 9 1 10 1 12 1 13 2 14 3 14 4 13 4 12 5 10 5 8 4 6 4 5 2 3 1 3 0 2 -1 3 -1 3 -1 4 0 5 1 6 3 6 4 6 6 5 7 5 7 4 0 0 7 2 6 2 6 2 5 4 6 5 7 7 8 9 10 10 13 11 15 10 18 10 20 8 21 7 22 5 20 3 19 3 17 2 14 3 12 6 9 9 7 13 4 17 4 21 3 25 2 28 1 31 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,2,3264387363,-53,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 0 -6 1 -6 2 -6 4 -6 6 -6 7 -6 8 -7 9 -8 9 -9 9 -9 10 -10 10 -10 10 -10 10 -9 11 -9 11 -9 12 -9 12 -8 13 -9 14 -9 14 -10 14 -11 13 -11 12 -11 11 -11 0 0 10 -10 9 -9 9 -8 10 -6 11 -6 12 -6 13 -6 14 -6 15 -8 15 -9 15 -10 14 -11 13 -12 12 -13 10 -13 9 -12 8 -11 8 -10 7 -9 8 -7 9 -6 10 -5 11 -4 11 -4 12 -3 13 -2 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,4,2651572043,-59,0 0 0 0 0 0 0 0 0 0 0 0 4 -2 7 -2 9 -2 11 -2 12 -2 13 -2 13 -1 13 -1 12 -1 11 -1 10 -1 7 -1 4 -1 1 -1 -3 -1 -6 -1 -10 0 -13 0 -16 0 -18 1 -19 1 -20 1 -20 2 -20 3 -19 3 -16 4 0 0 -10 3 -7 2 -2 1 2 -1 6 -3 10 -4 14 -5 17 -7 19 -8 20 -9 21 -9 21 -9 20 -9 18 -8 15 -7 12 -6 9 -4 5 -2 2 0 -3 2 -7 3 -10 4 -14 5 -17 5 -19 5 -21 3 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,3,2675133721,-59,0 0 0 0 0 0 0 0 0 0 0 0 -3 0 -4 -1 -4 -1 -5 -2 -5 -1 -5 -1 -6 -1 -5 0 -5 0 -5 0 -4 1 -3 1 -3 1 -2 1 -2 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 1 -1 1 -1 2 -1 1 -1 2 0 0 -1 2 -1 2 -1 2 -1 2 -1 3 -2 4 -2 4 -1 5 -1 6 0 7 1 8 2 7 2 8 3 7 3 7 3 7 2 6 2 5 0 5 -1 5 -3 6 -4 6 -5 7 -6 9 -7 9 -8 9 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,3,2675134353,-59,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 3 2 3 3 3 3 4 3 4 2 4 2 4 1 4 1 3 0 3 -1 2 -1 2 -1 1 -1 1 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -2 2 -2 2 -2 2 -3 1 -3 0 0 1 -3 1 -2 2 -3 1 -3 2 -3 3 -4 3 -5 3 -5 4 -7 3 -7 2 -8 2 -9 2 -9 1 -9 -1 -9 0 -9 0 -8 0 -7 2 -6 2 -6 5 -6 6 -5 8 -6 9 -6 10 -6 11 -6 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,2,3264455157,-53,0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 1 2 1 3 0 4 -1 4 -1 5 -1 5 -1 6 -1 6 -1 7 -1 7 -2 7 -2 7 -3 6 -4 6 -4 7 -4 8 -5 7 -5 8 -5 8 -5 9 -4 9 -4 10 -3 9 -3 9 0 0 -3 6 -3 6 -4 5 -5 4 -6 4 -6 4 -8 4 -8 5 -9 6 -8 7 -8 8 -7 8 -6 9 -5 9 -4 8 -4 8 -3 7 -3 5 -3 5 -4 3 -4 3 -6 2 -6 2 -7 1 -8 2 -8 0 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,2,3264455789,-53,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -3 -3 -2 -4 -2 -5 -1 -5 0 -5 -1 -6 0 -7 0 -7 0 -8 0 -8 0 -8 0 -8 1 -8 2 -7 2 -9 3 -9 4 -9 4 -10 4 -10 4 -11 4 -11 3 -11 2 -11 2 -11 1 -10 0 0 2 -8 1 -7 2 -6 4 -6 5 -6 6 -5 6 -7 8 -7 7 -8 8 -10 7 -11 5 -11 4 -11 3 -11 3 -10 2 -10 1 -8 2 -7 1 -6 3 -5 3 -4 5 -4 5 -3 7 -3 8 -2 8 -3 0 0 0 0 0 0 0 0 0 0,empty room
2026-04-26 12:22:56.451,2,3264456121,-53,0 0 0 0 0 0 0 0 0 0 0 0 5 3 4 4 3 5 2 6 1 7 0 8 0 10 0 11 -1 12 0 13 0 13 0 13 -1 13 -2 13 -2 13 -3 14 -4 14 -5 15 -6 15 -6 17 -6 18 -6 19 -4 19 -3 19 -2 18 -1 17 0 0 -1 14 -2 12 -3 11 -5 10 -7 10 -9 10 -10 12 -11 13 -12 15 -11 17 -9 18 -8 19 -6 19 -4 18 -2 18 -2 16 -1 14 -1 12 -2 11 -4 9 -6 8 -7 7 -9 7 -10 7 -12 8 -13 7 0 0 0 0 0 0 0 0 0 0,empty room
