laptop_timestamp,sniffer_id,esp_timestamp_us,rssi,csi_array,label
2026-04-26 14:58:31.730,4,12042469946,-56,0 0 0 0 0 0 0 0 0 0 0 0 4 8 2 8 1 9 0 9 -1 9 -2 9 -3 10 -4 10 -4 11 -4 11 -4 12 -4 13 -4 14 -4 14 -3 14 -3 15 -3 14 -3 14 -3 13 -3 13 -4 12 -4 12 -4 12 -4 13 -4 13 -5 13 0 0 -4 14 -3 14 -3 14 -2 15 -1 14 -1 14 -1 13 -1 12 -1 12 -1 12 -1 12 0 12 -1 12 -1 12 -1 13 0 13 0 14 1 14 2 13 2 13 2 13 2 13 2 12 1 11 0 10 -2 10 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,2,12655234756,-64,0 0 0 0 0 0 0 0 0 0 0 0 14 3 12 5 10 6 7 7 3 6 -1 5 -4 2 -7 -1 -9 -6 -10 -9 -11 -12 -10 -14 -9 -16 -7 -16 -5 -15 -3 -13 -1 -9 0 -4 1 0 1 5 1 9 1 13 1 16 1 17 1 19 1 19 0 0 0 16 0 13 1 10 1 5 2 0 3 -4 4 -8 5 -12 5 -15 5 -17 5 -18 4 -19 3 -18 1 -17 0 -15 -2 -13 -4 -9 -7 -6 -10 -3 -12 0 -14 2 -16 4 -17 6 -18 7 -18 7 -18 8 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,3,12066107167,-52,0 0 0 0 0 0 0 0 0 0 0 0 -9 5 -7 4 -6 3 -3 3 -1 3 1 4 4 5 6 6 8 7 10 9 11 9 12 10 13 10 13 10 13 9 13 9 11 7 10 6 7 3 5 1 3 -2 1 -6 -1 -10 -4 -13 -5 -16 -6 -19 0 0 -8 -22 -9 -23 -8 -22 -8 -22 -7 -19 -6 -16 -5 -13 -4 -8 -2 -4 -2 2 -1 7 -1 12 -2 16 -3 19 -4 22 -5 23 -7 24 -8 22 -9 20 -9 16 -8 12 -6 8 -4 4 -1 0 3 -3 8 -5 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,1,12876493689,-63,0 0 14 -7 15 -8 16 -9 17 -10 16 -10 14 -10 12 -9 10 -8 7 -7 3 -5 -1 -3 -5 -2 -9 -1 -12 0 -15 1 -16 1 -17 0 -18 0 -16 0 -14 1 -12 2 -9 3 -8 4 -6 5 -6 6 -5 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -10 10 -10 11 -9 11 -8 11 -6 10 -4 9 -2 6 0 3 2 -1 3 -3 5 -7 5 -10 6 -12 6 -13 7 -15 7 -15 7 -15 6 -13 6 -11 5 -9 3 -5 2 -2 1 2 -1 5 -3 8 -5,half room moving
2026-04-26 14:58:31.730,4,12042589146,-54,0 0 0 0 0 0 0 0 0 0 0 0 3 10 2 10 1 10 0 10 -1 9 -2 8 -3 8 -4 7 -6 7 -8 7 -10 8 -11 8 -12 9 -13 10 -13 11 -13 12 -12 12 -11 13 -10 12 -9 12 -9 10 -8 9 -8 7 -9 6 -10 5 -12 4 0 0 -14 4 -15 5 -15 6 -16 8 -15 9 -14 10 -12 10 -11 10 -9 9 -8 8 -8 7 -7 6 -8 4 -9 3 -10 3 -11 3 -12 3 -13 3 -14 4 -14 5 -14 6 -13 6 -13 6 -12 5 -11 5 -10 3 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,2,12655353949,-64,0 0 0 0 0 0 0 0 0 0 0 0 -20 6 -20 4 -19 2 -18 0 -15 -1 -11 -3 -6 -4 -1 -5 4 -5 9 -5 14 -5 17 -5 19 -5 21 -4 20 -4 18 -3 16 -3 12 -3 7 -2 2 0 -3 1 -8 3 -12 5 -16 7 -19 9 -22 10 0 0 -22 11 -21 10 -18 9 -15 7 -10 4 -6 1 -1 -3 3 -6 6 -10 8 -13 9 -15 9 -18 9 -18 8 -18 6 -18 3 -16 1 -13 -2 -10 -4 -6 -7 -2 -8 1 -10 5 -10 8 -10 10 -10 13 -9 15 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,2,12655375504,-63,0 0 0 0 0 0 0 0 0 0 0 0 10 10 8 11 6 10 4 9 2 6 0 4 -3 1 -5 -2 -6 -6 -8 -9 -9 -11 -10 -14 -10 -15 -10 -15 -9 -14 -8 -13 -6 -10 -5 -7 -3 -4 0 0 3 3 6 6 9 8 11 10 14 11 16 12 0 0 17 12 15 11 14 10 11 8 7 6 3 4 -1 2 -5 1 -9 0 -12 0 -15 0 -17 1 -18 1 -19 2 -17 3 -16 3 -14 4 -11 4 -7 4 -4 3 0 3 4 2 6 1 8 0 11 -1 13 -3 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,4,12042610699,-54,0 0 0 0 0 0 0 0 0 0 0 0 3 9 2 9 1 9 0 8 -2 7 -3 7 -5 6 -6 5 -8 5 -10 6 -11 6 -13 7 -14 8 -14 9 -15 9 -14 10 -14 10 -12 10 -11 10 -11 9 -9 7 -9 5 -9 4 -10 2 -11 1 -12 0 0 0 -15 -1 -16 -1 -17 0 -18 1 -18 3 -17 3 -16 4 -14 5 -12 5 -11 5 -9 4 -8 2 -8 0 -8 -1 -9 -2 -10 -4 -11 -5 -13 -5 -14 -6 -15 -5 -15 -4 -16 -4 -15 -3 -15 -3 -13 -3 -12 -3 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,2,12656638599,-64,0 0 0 0 0 0 0 0 0 0 0 0 -15 -10 -13 -13 -10 -14 -6 -14 -3 -13 -1 -9 1 -5 0 -1 -1 3 -2 7 -4 10 -7 13 -9 14 -11 14 -12 14 -12 14 -11 14 -10 13 -9 12 -7 12 -5 12 -4 11 -2 9 0 8 1 5 3 3 0 0 7 -2 8 -4 10 -6 11 -8 12 -9 13 -10 13 -10 12 -10 11 -9 9 -9 7 -8 3 -8 1 -7 -2 -7 -4 -6 -6 -5 -8 -4 -10 -2 -12 -1 -14 0 -15 1 -17 2 -19 2 -20 1 -20 0 -20 -1 0 0 0 0 0 0 0 0 0 0,half room moving
2026-04-26 14:58:31.730,3,12067391827,-53,0 0 0 0 0 0 0 0 0 0 0 0 -13 -11 -12 -12 -11 -13 -10 -13 -10 -13 -9 -12 -9 -12 -9 -11 -9 -9 -10 -8 -11 -6 -13 -5 -15 -4 -16 -4 -18 -3 -20 -3 -21 -4 -21 -5 -20 -5 -19 -6 -17 -5 -15 -4 -12 -2 -10 0 -8 4 -6 7 0 0 -5 13 -5 18 -5 20 -7 23 -8 23 -9 24 -11 23 -11 20 -11 17 -9 15 -6 12 -2 9 2 8 7 8 11 9 13 10 16 12 16 14 18 16 17 17 16 18 14 18 12 18 10 17 8 14 7 12 0 0 0 0 0 0 0 0 0 0,half room moving
